protein_id,accession,host_type,product,length
YP_013031199.1,NC_116874.1,fungi,hypothetical protein,1462
YP_013031200.1,NC_116874.1,fungi,hypothetical protein,1319
WWQ12947.1,PP405626.1,fungi,baseplate wedge subunit,129
WWQ12948.1,PP405626.1,fungi,virion structural protein,110
WWQ12949.1,PP405626.1,fungi,hypothetical protein,232
WWQ12951.1,PP405626.1,fungi,hypothetical protein,191
WWQ12952.1,PP405626.1,fungi,tail assembly chaperone,134
WWQ12953.1,PP405626.1,fungi,hypothetical protein,200
WWQ12954.1,PP405626.1,fungi,tail length tape measure protein,606
WWQ12955.1,PP405626.1,fungi,hypothetical protein,104
WWQ12956.1,PP405626.1,fungi,baseplate hub,298
WWQ12957.1,PP405626.1,fungi,baseplate assembly protein,243
WWQ12958.1,PP405626.1,fungi,hypothetical protein,225
WWQ12959.1,PP405626.1,fungi,hypothetical protein,419
WWQ12960.1,PP405626.1,fungi,structural protein,306
WWQ12961.1,PP405626.1,fungi,tail fiber protein,557
WWQ12962.1,PP405626.1,fungi,holin,81
WWQ12963.1,PP405626.1,fungi,lysozyme,172
WWQ12964.1,PP405626.1,fungi,hypothetical protein,135
WWQ12965.1,PP405626.1,fungi,hypothetical protein,87
WWQ12966.1,PP405626.1,fungi,hypothetical protein,98
WWQ12967.1,PP405626.1,fungi,hypothetical protein,64
WWQ12968.1,PP405626.1,fungi,RusA-like Holliday junction resolvase,119
WWQ12969.1,PP405626.1,fungi,hypothetical protein,250
WWQ12970.1,PP405626.1,fungi,exonuclease,398
WWQ12971.1,PP405626.1,fungi,DNA primase,827
WWQ12972.1,PP405626.1,fungi,helix-turn-helix transcriptional regulator,79
WWQ12973.1,PP405626.1,fungi,hypothetical protein,85
WWQ12974.1,PP405626.1,fungi,hypothetical protein,144
WWQ12975.1,PP405626.1,fungi,hypothetical protein,235
WWQ12976.1,PP405626.1,fungi,hypothetical protein,86
WWQ12977.1,PP405626.1,fungi,major tail protein with Ig-like domain,142
WWQ12978.1,PP405626.1,fungi,hypothetical protein,121
WWQ12979.1,PP405626.1,fungi,DNA helicase,613
WWQ12980.1,PP405626.1,fungi,DNA polymerase,654
WWQ12981.1,PP405626.1,fungi,hypothetical protein,116
WWQ12982.1,PP405626.1,fungi,hypothetical protein,90
WWQ12983.1,PP405626.1,fungi,tail protein,259
WWQ12984.1,PP405626.1,fungi,hypothetical protein,97
WWQ12985.1,PP405626.1,fungi,hypothetical protein,162
WWQ12986.1,PP405626.1,fungi,adenosine (5')-pentaphospho-(5'')-adenosine pyrophosphohydrolase,176
WWQ12987.1,PP405626.1,fungi,virion structural protein,143
WWQ12988.1,PP405626.1,fungi,hypothetical protein,494
WWQ12989.1,PP405626.1,fungi,hypothetical protein,175
WWQ12990.1,PP405626.1,fungi,hypothetical protein,200
WWQ12991.1,PP405626.1,fungi,head protein,167
WWQ12992.1,PP405626.1,fungi,tail completion or Neck1 protein,155
WWQ12993.1,PP405626.1,fungi,hypothetical protein,70
WWQ12994.1,PP405626.1,fungi,virion structural protein,155
WWQ12995.1,PP405626.1,fungi,hypothetical protein,126
WWQ12996.1,PP405626.1,fungi,hypothetical protein,107
WWQ12997.1,PP405626.1,fungi,hypothetical protein,98
WWQ12998.1,PP405626.1,fungi,hypothetical protein,80
WWQ12999.1,PP405626.1,fungi,major head protein,339
WWQ13000.1,PP405626.1,fungi,minor head protein,166
WWQ13001.1,PP405626.1,fungi,head maturation protease,440
WWQ13002.1,PP405626.1,fungi,hypothetical protein,51
WWQ13003.1,PP405626.1,fungi,hypothetical protein,63
WWQ13004.1,PP405626.1,fungi,hypothetical protein,266
WWQ13006.1,PP405626.1,fungi,hypothetical protein,81
WWQ13007.1,PP405626.1,fungi,hypothetical protein,62
WWQ13008.1,PP405626.1,fungi,head morphogenesis,317
WWQ13009.1,PP405626.1,fungi,portal protein,572
WWQ13010.1,PP405626.1,fungi,terminase large subunit,496
WWQ13011.1,PP405626.1,fungi,hypothetical protein,154
DBA53731.1,BK065786.1,fungi,ORF-B protein,716
DBA53732.1,BK065786.1,fungi,RNA-directed RNA polymerase,695
DBA53729.1,BK065785.1,fungi,ORF-B protein,651
DBA53730.1,BK065785.1,fungi,RNA-directed RNA polymerase,705
DBA53727.1,BK065784.1,fungi,ORF-B protein,666
DBA53728.1,BK065784.1,fungi,RNA-directed RNA polymerase,741
DBA53725.1,BK065783.1,fungi,ORF-B protein,647
DBA53726.1,BK065783.1,fungi,RNA-directed RNA polymerase,649
DBA53723.1,BK065782.1,fungi,ORF-B protein,678
DBA53724.1,BK065782.1,fungi,RNA-directed RNA polymerase,722
DBA53721.1,BK065781.1,fungi,ORF-B protein,559
DBA53722.1,BK065781.1,fungi,RNA-directed RNA polymerase,582
DBA53719.1,BK065780.1,fungi,ORF-B protein,397
DBA53720.1,BK065780.1,fungi,RNA-directed RNA polymerase,672
DBA53717.1,BK065779.1,fungi,ORF-B protein,406
DBA53718.1,BK065779.1,fungi,RNA-directed RNA polymerase,681
DBA53715.1,BK065778.1,fungi,ORF-B protein,680
DBA53716.1,BK065778.1,fungi,RNA-directed RNA polymerase,707
DBA53713.1,BK065777.1,fungi,ORF-B protein,635
DBA53714.1,BK065777.1,fungi,RNA-directed RNA polymerase,686
DBA53711.1,BK065776.1,fungi,ORF-B protein,641
DBA53712.1,BK065776.1,fungi,RNA-directed RNA polymerase,667
DBA53709.1,BK065775.1,fungi,ORF-B protein,665
DBA53710.1,BK065775.1,fungi,RNA-directed RNA polymerase,705
DBA53707.1,BK065774.1,fungi,ORF-B protein,634
DBA53708.1,BK065774.1,fungi,RNA-directed RNA polymerase,681
DBA53705.1,BK065773.1,fungi,ORF-B protein,389
DBA53706.1,BK065773.1,fungi,RNA-directed RNA polymerase,670
