sequence_id,host_type,length,accession
NC_116874.1_fungi,fungi,9651,NC_116874.1
PP405626.1_fungi,fungi,47156,PP405626.1
BK065786.1_fungi,fungi,4762,BK065786.1
BK065785.1_fungi,fungi,4735,BK065785.1
BK065784.1_fungi,fungi,4794,BK065784.1
BK065783.1_fungi,fungi,4215,BK065783.1
BK065782.1_fungi,fungi,5035,BK065782.1
BK065781.1_fungi,fungi,4768,BK065781.1
BK065780.1_fungi,fungi,4435,BK065780.1
BK065779.1_fungi,fungi,4580,BK065779.1
BK065778.1_fungi,fungi,4918,BK065778.1
BK065777.1_fungi,fungi,4562,BK065777.1
BK065776.1_fungi,fungi,4392,BK065776.1
BK065775.1_fungi,fungi,4640,BK065775.1
BK065774.1_fungi,fungi,4684,BK065774.1
BK065773.1_fungi,fungi,4446,BK065773.1
BK065772.1_fungi,fungi,4634,BK065772.1
BK065771.1_fungi,fungi,4683,BK065771.1
BK065770.1_fungi,fungi,4918,BK065770.1
BK065769.1_fungi,fungi,4645,BK065769.1
BK065768.1_fungi,fungi,4308,BK065768.1
BK065767.1_fungi,fungi,4645,BK065767.1
BK065766.1_fungi,fungi,5006,BK065766.1
BK065765.1_fungi,fungi,5155,BK065765.1
BK065764.1_fungi,fungi,4853,BK065764.1
BK065763.1_fungi,fungi,4552,BK065763.1
BK065762.1_fungi,fungi,4763,BK065762.1
BK065761.1_fungi,fungi,3518,BK065761.1
BK065760.1_fungi,fungi,4962,BK065760.1
BK065759.1_fungi,fungi,4552,BK065759.1
BK065758.1_fungi,fungi,4447,BK065758.1
BK065757.1_fungi,fungi,5215,BK065757.1
BK065756.1_fungi,fungi,4687,BK065756.1
BK065755.1_fungi,fungi,4757,BK065755.1
BK065754.1_fungi,fungi,4188,BK065754.1
BK065753.1_fungi,fungi,4798,BK065753.1
BK065752.1_fungi,fungi,4675,BK065752.1
BK065751.1_fungi,fungi,4447,BK065751.1
BK065750.1_fungi,fungi,4532,BK065750.1
BK065749.1_fungi,fungi,4275,BK065749.1
BK065748.1_fungi,fungi,4627,BK065748.1
BK065747.1_fungi,fungi,4634,BK065747.1
BK065746.1_fungi,fungi,5037,BK065746.1
BK065745.1_fungi,fungi,4950,BK065745.1
BK065744.1_fungi,fungi,4551,BK065744.1
BK065743.1_fungi,fungi,4232,BK065743.1
BK065742.1_fungi,fungi,4603,BK065742.1
BK065741.1_fungi,fungi,4910,BK065741.1
BK065740.1_fungi,fungi,4727,BK065740.1
BK065739.1_fungi,fungi,4883,BK065739.1
BK065738.1_fungi,fungi,4188,BK065738.1
BK065737.1_fungi,fungi,4938,BK065737.1
BK065736.1_fungi,fungi,4682,BK065736.1
BK065735.1_fungi,fungi,4884,BK065735.1
BK065734.1_fungi,fungi,4939,BK065734.1
BK065733.1_fungi,fungi,4566,BK065733.1
BK065732.1_fungi,fungi,4820,BK065732.1
BK065731.1_fungi,fungi,4918,BK065731.1
BK065730.1_fungi,fungi,4355,BK065730.1
BK065729.1_fungi,fungi,4422,BK065729.1
BK065728.1_fungi,fungi,4508,BK065728.1
BK065727.1_fungi,fungi,4960,BK065727.1
BK065726.1_fungi,fungi,4786,BK065726.1
BK065725.1_fungi,fungi,4077,BK065725.1
BK065724.1_fungi,fungi,5133,BK065724.1
BK065723.1_fungi,fungi,4580,BK065723.1
BK065722.1_fungi,fungi,4752,BK065722.1
BK065721.1_fungi,fungi,4467,BK065721.1
BK065720.1_fungi,fungi,4633,BK065720.1
BK065719.1_fungi,fungi,4883,BK065719.1
